Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
ALTUS_AFB|HANGAR_97,ALTUS_AFB,Hangar 97,,97 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Mr. Marlin Carter,FALSE,2,Mission Feeding QRG,,,TRUE
ANDERSEN_AB|DFAC,ANDERSEN_AB,DFAC,,36 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Pacific Unlimited,,TSgt Amy Sherwood,TRUE,3,Mission Feeding QRG,,,TRUE
ANDERSEN_AB|SILVER_FLAG,ANDERSEN_AB,Silver Flag,SILVER FLAG,36 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Pacific Unlimited,,TSgt Amy Sherwood,TRUE,6,Mission Feeding QRG,,,TRUE
AVIANO_AB|DFAC,AVIANO_AB,DFAC,,31 FSS,,Legacy/APF,Legacy - LN,Full Service,Ebrex,Offline (2),TSgt Brent Smith,TRUE,9,Mission Feeding QRG,,,TRUE
BARKSDALE_AFB|RED_RIVER_INN,BARKSDALE_AFB,Red River Inn,,2 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Merchants,,Mr. Marlin Carter,FALSE,10,Mission Feeding QRG,,,TRUE
BEALE_AFB|CONTRAILS_DFAC,BEALE_AFB,Contrails DFAC,,9 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,11,Mission Feeding QRG,,,TRUE
BEALE_AFB|DRAGONS_LAIR,BEALE_AFB,Dragons Lair,,9 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,12,Mission Feeding QRG,,,TRUE
BUECHEL_AB|ODIN_INN,BUECHEL_AB,Odin Inn,,702 MUNS,,Legacy/APF,Legacy - LN - No ESM - No Dorms,Local National Support,TWI,1,TSgt Brent Smith,TRUE,13,Mission Feeding QRG,,,TRUE
CANNON_AFB|HIGH_PLAINS_CAF,CANNON_AFB,High Plains Café,,27 SOFSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,14,Mission Feeding QRG,,,TRUE
CANNON_AFB|PECOS_TRAIL_DFAC,CANNON_AFB,Pecos Trail DFAC,,27 SOFSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,16,Mission Feeding QRG,,,TRUE
JB_CHARLESTON|GAYLOR_DFAC,JB_CHARLESTON,Gaylor DFAC,,628 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Tyrone Merriweather,FALSE,18,Mission Feeding QRG,,,TRUE
