INSTALLATION,LOCATION,FACILITY NAME,PORTFOLIO,MAJCOM,DESIGNATION,UNIT,POC,FEEDING TYPE,PROGRAM TYPE,CONTRACT TYPE,PRIMARY PV,POS TERMINALS
ALTUS AFB,OKLAHOMA (OK),Hangar 97,PORTFOLIO 2,AETC,N/A,97 FSS,Mr. Marlin Carter,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,N/A
ANDERSEN AB,GUAM,DFAC,PORTFOLIO 1,PACAF,N/A,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
ANDERSEN AB,GUAM,DFAC,PORTFOLIO 1,PACAF,N/A,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
ANDERSEN AB,GUAM,DFAC,PORTFOLIO 1,PACAF,N/A,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
ANDERSEN AB,GUAM,Silver Flag,PORTFOLIO 1,PACAF,SILVER FLAG,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
ANDERSEN AB,GUAM,Silver Flag,PORTFOLIO 1,PACAF,SILVER FLAG,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
ANDERSEN AB,GUAM,Silver Flag,PORTFOLIO 1,PACAF,SILVER FLAG,36 FSS,TSgt Amy Sherwood,Legacy,Legacy - SB,Mess Attendant,Pacific Unlimited,N/A
AVIANO AB,ITALY,DFAC,PORTFOLIO 4,USAFE,N/A,31 FSS,TSgt Brent Smith,Legacy,Legacy - LN,Full Service,Ebrex,Offline (2)
BARKSDALE AFB,LOUISIANA (LA),Red River Inn,PORTFOLIO 2,AFGSC,N/A,2 FSS,Mr. Marlin Carter,Food 2.0,Food 2.0 - AB1,Sodexo,Merchants,N/A
BEALE AFB,CALIFORNIA (CA),Contrails DFAC,PORTFOLIO 1,ACC,N/A,9 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
BEALE AFB,CALIFORNIA (CA),Dragons Lair,PORTFOLIO 1,ACC,N/A,9 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
BUECHEL AB,GERMANY,Odin Inn,PORTFOLIO 4,USAFE,N/A,702 MUNS,TSgt Brent Smith,Legacy,Legacy - LN - No ESM - No Dorms,Local National Support,TWI,1
CANNON AFB,NEW MEXICO (NM),High Plains Café,PORTFOLIO 2,AFSOC,N/A,27 SOFSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
CANNON AFB,NEW MEXICO (NM),High Plains Café,PORTFOLIO 2,AFSOC,N/A,27 SOFSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
CANNON AFB,NEW MEXICO (NM),Pecos Trail DFAC,PORTFOLIO 2,AFSOC,N/A,27 SOFSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
CANNON AFB,NEW MEXICO (NM),Pecos Trail DFAC,PORTFOLIO 2,AFSOC,N/A,27 SOFSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
"CHARLESTON, JB",SOUTH CAROLINA (SC),Gaylor DFAC,PORTFOLIO 4,AMC,N/A,628 FSS,Mr. Tyrone Merriweather,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
CLEAR SFS,ALASKA (AK),DFAC,PORTFOLIO 1,USSF,N/A,13 FSS,TSgt Amy Sherwood,Legacy,Legacy - BOS - No ESM,Full Food Service,US Foods,N/A
CREECH AFB,NEVADA (NV),DFAC,PORTFOLIO 1,ACC,N/A,432 FSS,TSgt Annette Hartman,Legacy,Legacy - BOS - No ESM,Full Food Service,US Foods,Hunters – 4
DAVIS MONTHAN AFB,ARIZONA (AZ),DFAC,PORTFOLIO 1,ACC,AFSOUTH,355 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,N/A
DOVER AFB,DELAWARE (DE),Patterson DFAC,PORTFOLIO 4,AMC,N/A,436 FSS,Ms. Stephanie Thomas,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
DOVER AFB,DELAWARE (DE),Heavy Lifters KIOSK,PORTFOLIO 4,AMC,N/A,436 FSS,Ms. Stephanie Thomas,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
DYESS AFB,TEXAS (TX),Longhorn DFAC,PORTFOLIO 2,AFGSC,N/A,7 FSS,Mr. Marlin Carter,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
EDWARDS AFB,CALIFORNIA (CA),DFAC,PORTFOLIO 1,AFMC,N/A,412 FSS,TSgt Annette Hartman,Legacy,Legacy - SB,Full Food Service,US Foods,Joshua Tree – N/A
EGLIN AFB,FLORIDA (FL),Lightning,PORTFOLIO 4,AFMC,N/A,96 FSS,TSgt Dante Tillman,Legacy,Legacy - RSA,Mess Attendant,US Foods,Lightning – 3
EGLIN AFB (2.0),FLORIDA (FL),Breeze DFAC,PORTFOLIO 4,AFMC,N/A,96 FSS,Ms. Stephanie Thomas,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
EGLIN AFB (2.0),FLORIDA (FL),Duke Field,PORTFOLIO 4,AFMC,N/A,96 FSS,Ms. Stephanie Thomas,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
EIELSON AFB,ALASKA (AK),DFAC,PORTFOLIO 1,PACAF,N/A,354 FSS,TSgt Amy Sherwood,Legacy,Food 2.0 - In Development,Mess Attendant,US Foods,6
EIELSON AFB,ALASKA (AK),DFAC,PORTFOLIO 1,PACAF,N/A,354 FSS,TSgt Amy Sherwood,Legacy,Food 2.0 - In Development,Mess Attendant,US Foods,6
ELLSWORTH AFB,SOUTH DAKOTA (SD),Raider Café,PORTFOLIO 3,AFGSC,N/A,28 FSS,Ms. Treva Sahadat,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
"ELMENDORF, JB",ALASKA (AK),Iditarod DFAC,PORTFOLIO 1,PACAF,N/A,673 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
FAIRCHILD AFB,WASHINGTON (WA),Ross DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Ross DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Ross DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Ross DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Warrior DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Warrior DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Warrior DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FAIRCHILD AFB,WASHINGTON (WA),Warrior DFAC,PORTFOLIO 1,AMC,N/A,92 FSS,Mr. Adam Aguilar,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,N/A
FE WARREN AFB (2.0),WYOMING (WY),Chadwell DFAC,PORTFOLIO 3,AFGSC,N/A,90 FSS,Mr. Greg Featherstone,Food 2.0,Food 2.0 - AB1,Sodexo,Shamrock,N/A
FE WARREN AFB (2.0),WYOMING (WY),Chadwell DFAC,PORTFOLIO 3,AFGSC,N/A,90 FSS,Mr. Greg Featherstone,Food 2.0,Food 2.0 - AB1,Sodexo,Shamrock,N/A
FE WARREN AFB (MAF),WYOMING (WY),MAFFO,PORTFOLIO 3,AFGSC,MAFFO,90 FSS,TSgt Marc Miller-Nelson,MAFFO,N/A,Sodexo,Shamrock,N/A
FE WARREN AFB (MAF),WYOMING (WY),MAFFO,PORTFOLIO 3,AFGSC,MAFFO,90 FSS,TSgt Marc Miller-Nelson,MAFFO,N/A,Sodexo,Shamrock,N/A
FT. GREGG ADAMS,VIRGINIA (VA),Schoolhouse,PORTFOLIO 4,AETC,N/A,345 TRS,TSgt Dante Tillman,Legacy,N/A,N/A,US Foods,N/A
FT. MEADE,MARYLAND (MD),Six Hats,PORTFOLIO 4,ACC,N/A,707 FSS,MSgt Chermara Walley,Legacy,Legacy - AB1 (No NAFs),Full Food Service,US Foods,Six Hats – 3 (1 inop)
GHEDI AB,ITALY,DFAC,PORTFOLIO 4,USAFE,N/A,704 MUNS,MSgt Chermara Walley,Legacy,Legacy - LN - No ESM - No Dorms,Local National Support,Ebrex,1
