EOM_Item_ID,EOM_Item_Key,Portfolio_ID,Installation_ID,Facility_ID,Contract_ID,Reporting_Period,Requirement_ID,Requirement_Scope,Authority_Status,Required_Flag,Nominal_Due_Date,Effective_Due_Date,Nominal_Final_Call_Date,Effective_Final_Call_Date,Due_Date_Adjusted,Initial_Submitted_DateTime,Initial_Submission_On_Time,Acceptable_Evidence_DateTime,Final_Evidence_On_Time,Current_Submission_ID,Received_Flag,Days_Late,Last_Reconciled_DateTime,Exception_Flag,Correction_Due,Waived_Flag,Waiver_Reason,Final_Status,Status_Code,Action_Owner,Action_Required
2026-08|ANDERSEN_AB|DFAC|REQ-001,ANDERSEN_AB|ANDERSEN_AB|DFAC|2026-08|1119,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|DFAC,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|DFAC|REQ-003,ANDERSEN_AB|ANDERSEN_AB|DFAC|2026-08|SF1080,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|DFAC,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|DFAC|REQ-004,ANDERSEN_AB|ANDERSEN_AB|DFAC|2026-08|SAIIT,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|DFAC,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|DFAC|REQ-005,ANDERSEN_AB|ANDERSEN_AB|DFAC|2026-08|GPC,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|DFAC,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|SILVER_FLAG|REQ-001,ANDERSEN_AB|ANDERSEN_AB|SILVER_FLAG|2026-08|1119,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|SILVER_FLAG,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|SILVER_FLAG|REQ-003,ANDERSEN_AB|ANDERSEN_AB|SILVER_FLAG|2026-08|SF1080,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|SILVER_FLAG,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|SILVER_FLAG|REQ-004,ANDERSEN_AB|ANDERSEN_AB|SILVER_FLAG|2026-08|SAIIT,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|SILVER_FLAG,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|ANDERSEN_AB|SILVER_FLAG|REQ-005,ANDERSEN_AB|ANDERSEN_AB|SILVER_FLAG|2026-08|GPC,PORTFOLIO 1,ANDERSEN_AB,ANDERSEN_AB|SILVER_FLAG,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|AVIANO_AB|DFAC|REQ-001,AVIANO_AB|AVIANO_AB|DFAC|2026-08|1119,PORTFOLIO 4,AVIANO_AB,AVIANO_AB|DFAC,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|AVIANO_AB|DFAC|REQ-003,AVIANO_AB|AVIANO_AB|DFAC|2026-08|SF1080,PORTFOLIO 4,AVIANO_AB,AVIANO_AB|DFAC,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|AVIANO_AB|DFAC|REQ-004,AVIANO_AB|AVIANO_AB|DFAC|2026-08|SAIIT,PORTFOLIO 4,AVIANO_AB,AVIANO_AB|DFAC,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|AVIANO_AB|DFAC|REQ-005,AVIANO_AB|AVIANO_AB|DFAC|2026-08|GPC,PORTFOLIO 4,AVIANO_AB,AVIANO_AB|DFAC,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|BUECHEL_AB|ODIN_INN|REQ-001,BUECHEL_AB|BUECHEL_AB|ODIN_INN|2026-08|1119,PORTFOLIO 4,BUECHEL_AB,BUECHEL_AB|ODIN_INN,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|BUECHEL_AB|ODIN_INN|REQ-003,BUECHEL_AB|BUECHEL_AB|ODIN_INN|2026-08|SF1080,PORTFOLIO 4,BUECHEL_AB,BUECHEL_AB|ODIN_INN,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
