List,Column name (type this EXACTLY),Type,Required,Index it,Choices
MF Installation,Installation_ID,Text,Yes,Yes,
MF Installation,Installation_Name,Text,Yes,No,
MF Installation,Source_Installation_String,Text,No,No,
MF Installation,Location,Text,No,No,
MF Installation,Portfolio_ID,Text,Yes,Yes,
MF Installation,MAJCOM,Text,No,No,
MF Installation,Component,Choice,Yes,No,Active; ANG; AFRC
MF Installation,EOM_Folder_URL,URL,No,No,
MF Installation,Generation_Enabled,Boolean,Yes,Yes,
MF Installation,Registry_Validated_By,Text,No,No,
MF Installation,Registry_Validated_Date,DateTime,No,No,
MF Installation,Source_System,Text,No,No,
MF Installation,Needs_Review_Flag,Boolean,No,No,
MF Installation,DODAAC,Text,No,No,
MF Installation,DODAAD,Text,No,No,
MF Installation,Org_Box_Email,Text,No,No,
MF Installation,Official_POC_UPN,Text,No,No,
MF Installation,Active_Flag,Boolean,Yes,Yes,
MF Facility,Facility_ID,Text,Yes,Yes,
MF Facility,Installation_ID,Text,Yes,Yes,
MF Facility,Facility_Name,Text,Yes,No,
MF Facility,Designation,Text,No,No,
MF Facility,Unit,Text,No,No,
MF Facility,Facility_Type,Choice,No,No,Main DFAC; Flight Kitchen; Kiosk; Satellite; MAF; Contract Cafe
MF Facility,Operating_Model,Choice,No,Yes,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS
MF Facility,Source_Operating_Model,Text,No,No,
MF Facility,Program_Type,Text,No,No,
MF Facility,Contract_Type,Text,No,No,
MF Facility,Primary_PV,Text,No,No,
MF Facility,POS_Terminals_Raw,Text,No,No,
MF Facility,POC_Display_Name,Text,No,No,
MF Facility,In_R1_Scope,Boolean,No,Yes,
MF Facility,Source_Row,Number,No,No,
MF Facility,Source_System,Text,No,No,
MF Facility,Facility_DODAAC,Text,No,No,
MF Facility,Contract_ID,Text,No,No,
MF Facility,Active_Flag,Boolean,Yes,Yes,
MF EOM Requirement,Requirement_ID,Text,Yes,Yes,
MF EOM Requirement,Document_Code,Text,Yes,No,
MF EOM Requirement,Document_Name,Text,Yes,No,
MF EOM Requirement,Applicable_Model,Choice,Yes,No,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS; All
MF EOM Requirement,Requirement_Scope,Choice,Yes,No,Facility; Installation; Contract
MF EOM Requirement,Scope_Confidence,Choice,Yes,No,Verified; High; Medium; Low; Proposed
MF EOM Requirement,Scope_Basis,Note,No,No,
MF EOM Requirement,Applicable_Facility_Types,Text,No,No,
MF EOM Requirement,Applicable_Period_Month,Number,No,No,
MF EOM Requirement,Routing_Org,Choice,No,No,AFSVC/VMF; NGB/A1X; AFRC/A1S; Installation
MF EOM Requirement,Frequency,Choice,Yes,Yes,Monthly; Quarterly; Semiannual; Annual; Conditional
MF EOM Requirement,Required_Flag,Boolean,Yes,No,
MF EOM Requirement,Due_Day,Number,Yes,No,
MF EOM Requirement,Due_Basis,Choice,Yes,No,CALENDAR; DUTY_DAY
MF EOM Requirement,Final_Due_Day,Number,No,No,
MF EOM Requirement,Final_Due_Basis,Choice,No,No,CALENDAR; DUTY_DAY
MF EOM Requirement,NonDutyDay_Policy,Choice,No,No,NEXT_DUTY_DAY; PREVIOUS_DUTY_DAY; NO_ADJUSTMENT
MF EOM Requirement,QC_Required,Boolean,Yes,No,
MF EOM Requirement,Accepted_File_Types,Text,No,No,
MF EOM Requirement,Authority_Reference,Text,No,No,
MF EOM Requirement,Authority_Status,Choice,Yes,Yes,VERIFIED; MANAGEMENT_RULE; PROPOSED; UNVERIFIED; RETIRED_OR_NOT_APPLICABLE
MF EOM Requirement,Sort_Order,Number,No,No,
MF EOM Requirement,Active_Flag,Boolean,Yes,Yes,
MF EOM Item,EOM_Item_ID,Text,Yes,Yes,
MF EOM Item,EOM_Item_Key,Text,Yes,Yes,
MF EOM Item,Portfolio_ID,Text,Yes,Yes,
MF EOM Item,Installation_ID,Text,Yes,Yes,
MF EOM Item,Facility_ID,Text,No,Yes,
MF EOM Item,Contract_ID,Text,No,No,
MF EOM Item,Reporting_Period,Text,Yes,Yes,
MF EOM Item,Requirement_ID,Text,Yes,Yes,
MF EOM Item,Requirement_Scope,Choice,Yes,No,Facility; Installation; Contract
MF EOM Item,Authority_Status,Choice,Yes,Yes,VERIFIED; MANAGEMENT_RULE; PROPOSED; UNVERIFIED; RETIRED_OR_NOT_APPLICABLE
MF EOM Item,Required_Flag,Boolean,Yes,No,
MF EOM Item,Nominal_Due_Date,DateTime,Yes,No,
MF EOM Item,Effective_Due_Date,DateTime,Yes,Yes,
MF EOM Item,Nominal_Final_Call_Date,DateTime,No,No,
MF EOM Item,Effective_Final_Call_Date,DateTime,No,Yes,
MF EOM Item,Due_Date_Adjusted,Boolean,Yes,No,
MF EOM Item,Initial_Submitted_DateTime,DateTime,No,No,
MF EOM Item,Initial_Submission_On_Time,Boolean,No,No,
MF EOM Item,Acceptable_Evidence_DateTime,DateTime,No,No,
MF EOM Item,Final_Evidence_On_Time,Boolean,No,No,
MF EOM Item,Current_Submission_ID,Text,No,No,
MF EOM Item,Received_Flag,Boolean,Yes,No,
MF EOM Item,Final_Status,Choice,Yes,Yes,NOT_APPLICABLE; NOT_DUE; PENDING_VALIDATION; LATE; OVERDUE; RETURNED; NOT_SATISFIED; RECEIVED_PENDING_QC; ACCEPTED
MF EOM Item,Status_Code,Number,Yes,Yes,
MF EOM Item,Action_Owner,Choice,Yes,No,Facility; Reviewer; Admin; None
