Issue_ID,Issue_Type,Source_Row,Installation,Facility,Detail
DQ-0001,Exact duplicate row,4,ANDERSEN AB,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0002,Exact duplicate row,5,ANDERSEN AB,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0003,Exact duplicate row,7,ANDERSEN AB,Silver Flag,Byte-identical to an earlier row. Excluded from the registry.
DQ-0004,Exact duplicate row,8,ANDERSEN AB,Silver Flag,Byte-identical to an earlier row. Excluded from the registry.
DQ-0005,Exact duplicate row,15,CANNON AFB,High Plains Café,Byte-identical to an earlier row. Excluded from the registry.
DQ-0006,Exact duplicate row,17,CANNON AFB,Pecos Trail DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0007,Exact duplicate row,30,EIELSON AFB,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0008,Exact duplicate row,34,FAIRCHILD AFB,Ross DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0009,Exact duplicate row,35,FAIRCHILD AFB,Ross DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0010,Exact duplicate row,36,FAIRCHILD AFB,Ross DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0011,Exact duplicate row,38,FAIRCHILD AFB,Warrior DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0012,Exact duplicate row,39,FAIRCHILD AFB,Warrior DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0013,Exact duplicate row,40,FAIRCHILD AFB,Warrior DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0014,Exact duplicate row,42,FE WARREN AFB (2.0),Chadwell DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0015,Exact duplicate row,44,FE WARREN AFB (MAF),MAFFO,Byte-identical to an earlier row. Excluded from the registry.
DQ-0016,Exact duplicate row,49,GOODFELLOW AFB,Cressman DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0017,Exact duplicate row,51,GOODFELLOW AFB,Western Winds DFAC,Byte-identical to an earlier row. Excluded from the registry.
